hero,warrior,explorers,히어로,60841
paladin,warrior,explorers,팔라딘,35610
darkknight,warrior,explorers,다크나이트,50730
arkmagefp,magician,explorers,불독,21512
arkmagetc,magician,explorers,썬콜,93331
bishop,magician,explorers,비숍,48615
bowmaster,Bowman,explorers,보우마스터,9028
marks,Bowman,explorers,신궁,17651
pathfinder,Bowman,explorers,패스파인더,125199
nightlord,thief,explorers,나이트로드,57817
shadower,thief,explorers,섀도어,58680
dualblader,thief,explorers,듀얼블레이드,128314
captain,Pirate,explorers,캡틴,9129
viper,Pirate,explorers,바이퍼,51488
cannonmaster,Pirate,explorers,캐논마스터,31296
aran,warrior,Hero,아란,40919
shade,Pirate,Hero,은월,33937
mercedes,Bowman,Hero,메르세데스,27104
evan,magician,Hero,에반,26683
luminous,magician,Hero,루미너스,28503
phantom,thief,Hero,팬텀,34841
mihile,warrior,Cygnus,미하일,5482
soulmaster,warrior,Cygnus,소울마스터,75284
striker,Pirate,Cygnus,스트라이커,19484
windbreaker,Bowman,Cygnus,윈드브레이커,37443
flamewizard,magician,Cygnus,플레임위자드,17633
nightwalker,thief,Cygnus,나이트워커,17269
blaster,warrior,Resistance,블래스터,10838
demonavenger,warrior,Resistance,데몬어벤저,59542
demonslayer,warrior,Resistance,데몬슬레이어,24766
mechanic,Pirate,Resistance,메카닉,6345
wildhunter,Bowman,Resistance,와일드헌터,7519
battlemage,magician,Resistance,배틀메이지,9245
xenon,thief,Resistance,제논,17391
adele,warrior,Flora,아델,187241
ark,Pirate,Flora,아크,67811
illium,magician,Flora,일리움,6570
kaiser,warrior,nova,카이저,27573
cadena,thief,nova,카데나,26142
angelicbuster,Pirate,nova,엔젤릭버스터,46691
zero,warrior,none,제로,23444
kinesis,magician,none,키네시스,33662
hoyoung,thief,none,호영,32604
