hero,warrior,explorers,히어로,60656
paladin,warrior,explorers,팔라딘,35543
darkknight,warrior,explorers,다크나이트,50687
arkmagefp,magician,explorers,불독,21445
arkmagetc,magician,explorers,썬콜,93258
bishop,magician,explorers,비숍,48480
bowmaster,Bowman,explorers,보우마스터,9012
marks,Bowman,explorers,신궁,17646
pathfinder,Bowman,explorers,패스파인더,125040
nightlord,thief,explorers,나이트로드,57734
shadower,thief,explorers,섀도어,58561
dualblader,thief,explorers,듀얼블레이드,128111
captain,Pirate,explorers,캡틴,9103
viper,Pirate,explorers,바이퍼,51415
cannonmaster,Pirate,explorers,캐논마스터,31247
aran,warrior,Hero,아란,40857
shade,Pirate,Hero,은월,33864
mercedes,Bowman,Hero,메르세데스,27062
evan,magician,Hero,에반,26653
luminous,magician,Hero,루미너스,28443
phantom,thief,Hero,팬텀,34776
mihile,warrior,Cygnus,미하일,5458
soulmaster,warrior,Cygnus,소울마스터,75154
striker,Pirate,Cygnus,스트라이커,19459
windbreaker,Bowman,Cygnus,윈드브레이커,37260
flamewizard,magician,Cygnus,플레임위자드,17621
nightwalker,thief,Cygnus,나이트워커,17229
blaster,warrior,Resistance,블래스터,10812
demonavenger,warrior,Resistance,데몬어벤저,59488
demonslayer,warrior,Resistance,데몬슬레이어,24706
mechanic,Pirate,Resistance,메카닉,6320
wildhunter,Bowman,Resistance,와일드헌터,7508
battlemage,magician,Resistance,배틀메이지,9229
xenon,thief,Resistance,제논,17382
adele,warrior,Flora,아델,186348
ark,Pirate,Flora,아크,67652
illium,magician,Flora,일리움,6527
kaiser,warrior,nova,카이저,27463
cadena,thief,nova,카데나,26100
angelicbuster,Pirate,nova,엔젤릭버스터,46586
zero,warrior,none,제로,23385
kinesis,magician,none,키네시스,33602
hoyoung,thief,none,호영,32303
